symbol,token_name,tweet_time,entry_time,entry_price,delay_hours,evidence_source,return_24h,return_7d,return_30d,max_30d,min_30d,status,tweet_url,tweet_text,ocr_text
GPS,GoPlus Security,2025-03-13T12:47:48.000Z,2025-03-13T16:00:00.000Z,0.0352,3.20,文字,-1.70%,-7.39%,-38.64%,+26.42%,-44.89%,ok,https://x.com/nihaovand/status/1900166906067509509,"但是我只想问哥姐们，做kol真能把这些亏损填平么🚬

🚬评论区抽300u的GPS，让我开心开心吧🚬只能努力Builder加油赚钱了 https://t.co/ZzcoC5uGiz",7 日 20 ： 45 30 日 0 90 日 现 货 盈 亏 自 定 义 累 计 收 益 2025 一 03 一 13 · $ 538 ， 409 5
GPS,GoPlus Security,2025-07-12T11:54:19.000Z,2025-07-12T12:00:00.000Z,0.02481,0.09,文字,-1.53%,-5.76%,-31.96%,+5.08%,-34.70%,ok,https://x.com/nihaovand/status/1944002376580706660,"其实一周赚1M还是10M，都只是很正常的事情，因为这里就是流动性巨大的金融市场，无时无刻都有人赚钱与亏钱  

而且无论赚多少钱，也不会证明你牛逼或者失败，这只能证明在这样的市场情况下，我是正确的  

因为财富不是社会衡量一个人的标准，在社会上，我们靠人品立身，靠价值观改变世界观  

我们生活在一个共同奔赴美好生活的社会里，人人都做“市场”人的世界是可悲的  

大家如果只看到所谓的造富神话而fomo，或者心态受到影响。都是不明智且不理智的。

我分享部分仓位只是想证明，坚持就会有回报  过去的几个月，我也见证了很多造富神话，经历了从焦虑到平和

但我只想说：  无论如何，都只是起点，Crypto 依旧是年轻人最好的上升渠道  

以及通知一下大家！赚了一些钱，想为行业做些更有益的事情

我将拿出我个人持仓的 1M $GPS 和 @GoPlusZH  共同成立一个安全基金  

代币由我和 Goplus 以及社区代表共同管理，归集到一个统一的地址上，每个月将释放5%用于安全事业，我希望能够提高大家在黑暗森林的信心  

- 我将拉一个微信安全社区群 
- 任何朋友的被盗事件欢迎联系支持，就像过去我通过 Goplus Team 帮助好几个朋友那样  

其实这些钱没多少，我的简介里之前有一个是“点蜡烛的人”，因为在去年无数VC Coin 的推广中，我的Buy in 就像蜡烛一样拉一个小线  

现在，我和 Goplus 一起做点蜡烛的人，定位安全，在黑暗森林里给大家留一点烛光，并且长期坚持，我不会离开市场

如果有一天这个公益安全事业没有声音了，不再坚持，那无论赚多少才是真的失败",
GPS,GoPlus Security,2025-07-25T10:18:01.000Z,2025-07-25T12:00:00.000Z,0.02036,1.70,文字+配图OCR,+2.01%,-10.31%,-38.85%,+8.74%,-42.24%,ok,https://x.com/nihaovand/status/1948689185306804511,"在这个行业经历了两轮牛熊，一直在做builder，也赚到了一些钱

比起投机，我现在更想把精力用在一些真正能推动行业进步的东西上

所以联系了 @GoPlusZH 一起，发起一个长期的安全基金计划，为行业、也为更多 builder 提供一点实际支持。

现在正式大家宣布，这一个被盗的微小烛光已正式上线

链上地址是：0xCad286F2712ad019BD7EFc4A3FD66EA9204E766a

GoPlus 团队和社区代表共同管理，每月释放 5%，长期用于 Web3 安全相关的支持与建设

当面临以下任何问题的时候，可以联系 @nihaovand_live  @Oliverwoww 通过释放的  $GPS 帮助到你

- 资产被盗，监控丢失资产
- 安全相关的活动教育
- 线下活动的赞助.....等等

我个人精力可能没有那么多，也希望大家谅解，我会慢慢的去推动更多安全相关的事情

社区或者粉丝有想法都可以联系我，我一定会鼓励并且支持大家！

除此之外，GoPlus 也刚刚推出一个更大的安全基金，总额 5 亿枚 GPS

分为两个部分：

- 4亿枚 Staking 奖励池：质押 GPS 可获得基础 APY、安全生态分红（如合作项目空投）、以及基金会回购带来的通缩红利，奖励生态的长期支持者。

- 1亿枚赏金池：鼓励大家参与安全情报提交、黑灰产识别、AI安全工具开发、链上预警等，每个高质量报告最多可获得 10,000 GPS。

未来还会引入社区投票机制决定赏金分配。

我们都希望能够搭建一个“可持续的安全体系”，而不是一阵风的热度。让更多人因为认真做安全而被看见，被回报，也愿意留下。  在黑暗森林里，我们一起点一根蜡烛，哪怕开始微弱，也想坚持久一点。

欢迎更多朋友参与进来，无论是构建者、Staker，还是被黑受害者——我们尽可能提供支持。

安全这事，如果没有人坚持，那才是真的危险。行业未来还有无数年，我们一起坚定持续的 Builder，加油！",Transactions 厢 “ 仳 《 Tra 的 № TokenTransfers （ C ． 20 ） 0 Ca 毓 t Events MultiChain PO 酐 甬 Multichain Po 0n0 《 35 Chains $1 34 000 Chain BASE T 醵 凹 0 GoP 《 us Security (GPS) 1 佣 和 00 ％ $O ． 020579 7500 0 就 updated:lessthan 1 0 $ 1 434 俑
SIGN,Sign,2025-02-01T10:16:26.000Z,2025-04-28T08:00:00.000Z,0.03,2061.73,配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1885633300997558476,"更新了一下 2025 Q1 大概率 TGE的项目

弱弱提醒下个各位 Q1 只剩下 2 个月了哦～ 各位 Founder  记得过完春节复工发币，空投/拉盘代币涨涨，让大家美美过完 2025 

目前表现最好的是： GPS/Goplus，冲！ https://t.co/PXc1QWbm64",Asian on chain 2025 QI TGE 不 代 表 官 方 ， 非 最 终 结 果 ， 为 大 概 预 测 X/Twitter @nihaovand 截 止 至 ： 2025 / 02 / 01 ， 变 色 字 体 为 已 TGE 0 @ ． 0 。 0 0 List （ 以 下 排 名 不 分 先 后 ） 0 0 SoIayer 0 Nillion 0 Duckchain Pinai Humanity 0 Jambo Nodepay 0 Tea 的 Mint 0 Plume 0 Goplus 0 Taker 0 SOIV Redstone 0 ． Azuki 0 Bio Analog Doubler ． Soon 0 Alaya 6 ArteIa 9 StO ry L-• Linea DIN 0 Sign 0 KeIp DAO UtXO Stack
SIGN,Sign,2025-03-21T04:25:02.000Z,2025-04-28T08:00:00.000Z,0.03,915.58,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1902939485194928367,"点赞评论这条推文Sign yanxin 之神将保佑一切合约赌狗和德扑玩家，百战百胜，起手AA

@realyanxin @sign  因为我邀请了德扑大师开光，🍊家人加油 https://t.co/1gt5AQ5Azm",
SIGN,Sign,2025-03-25T03:50:48.000Z,2025-04-28T08:00:00.000Z,0.03,820.15,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1904380418314629256,"🍊🧡准备拿出来 1ku 作为 @sign  社区福利基金

做 30 Day 的抽奖活动，报销拼好饭、请大家喝奶茶、送保温杯，满足一切；真正的关怀是对社区，真正的 KOL 是热爱社区；Sign 加油 👀 我们会看见你们的一切；

Talyer 是 Sign 社区的贡献者， @tailai99 将作为 Sign 社区节点验证发放给社区🧡🍊

D1 ：本日主题是，给大家报销外卖订单，请大家吃顿饭🍊🧡",0 0 老 乡 开 门 来 送 牛 奶 了 1 / 彐 0 DAY GET START€D @nihaovand
SIGN,Sign,2025-03-30T09:40:45.000Z,2025-04-28T08:00:00.000Z,0.03,694.32,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1906280425959604311,"人在剧组，已经喘不上了，sign加油….

今天的sign 社区活动逼话不多，留下你的幸福时刻，或者你正在干什么，空投大量sol出去，仅此而已 https://t.co/Io6OMxwYBT",
SIGN,Sign,2025-04-15T07:22:38.000Z,2025-04-28T08:00:00.000Z,0.03,312.62,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1912043874194997304,"继续今晚的直播，以及OMG，今晚的Hey hey hey 嘉宾 @roguescholarbro 将要到来

跟我们讲述：橘子种植的核心技术；@Sign  如何如此亲民，社区伙伴为何如此热爱；本人将在直播间送出十框橘子，由Megan 现场抽出！一起吃🍊

今晚 21:30，我在橘子林等你们⬇️直播链接在评论区",卜 1 n 4 月 15 日 VandNi&Megan
SIGN,Sign,2025-04-16T01:58:20.000Z,2025-04-28T08:00:00.000Z,0.03,294.03,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1912324649339482347,"我直播间现场打劫，为大家带来100份周边，详情请看我和小蛋糕的对话

感谢 @roguescholarbro 带来的100份 Sign 周边，咱们评论区抽30份， @sign 抽50份

转发，关注，评论区说你爱我，懂得都懂；感恩🍊🍊🍊 https://t.co/9wVmPtoOO4",今 天 继 续 轻 松 找 密 码 ， 穿 越 噪 音 ； 21 ： 30 Mcgan 会 / 一 SIDEKICK 》 SIAN RO AND | ：：：：二过@NIH黼嬷ND CRYPTO RIRDROP INCOMING! 0 SIDEKICK 碜 0 0 meet.google.comfnrg 00 “ ， ： 忡 《 Mg-XiOC•rmf 0 @
SIGN,Sign,2025-04-25T12:56:26.000Z,2025-04-28T08:00:00.000Z,0.03,67.06,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1915751757759783062,"今年我已经23岁了，即将度过24岁的生日

我收获了很多，也失去了很多，但只有一点：我们都在不同的阶段追逐着下一个阶段的自己

21/22岁的自己会对23岁的自己叮嘱很多，但现在 23岁的自己只想说：放手一搏吧

sign是个有生命力的团队，希望能看到sign每一年的生日🎂 我们一直在加密世界生存/生活，共同庆祝每一个新生",
SIGN,Sign,2025-04-25T16:59:53.000Z,2025-04-28T08:00:00.000Z,0.03,63.00,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1915813025250251160,"查询了一下自己🍊，感恩自己 Holder NFT 到了最后 $SIGN；甚至还有经常的社交媒体上cook的空投

🍊🍊🍊多吃橘子🍊🍊🍊

我宣布，直接抽出来50箱橘子，让大家维C自由！ @hoidya_ 负责帮我监督工作和给大家抽出发送，我爱大家，yang ge爱你们🧡",
SAHARA,Sahara AI,2024-11-01T13:23:57.000Z,2025-06-26T12:00:00.000Z,0.02,5686.60,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1852340806440628327,"社区@AsianOnChain 用 Rootdata 做了一份 Binance Labs 今年投资项目的汇总，Mapping 图表欢迎自取使用

蛮值得关注一下的，很明显看到 Biance Labs 的投资还是很全面的，涵盖了大多数赛道：AI、Defi、infra、RWA、AI 和 Consumer/game ... 均有涉及

其中已经发币的项目在 Biance Listing 的概率蛮高的，还有几个未发币的值得关注下：

@myshell_ai ：去中心化AI消费者层（个人认为是，AI时代的抖音商学院

@Sidekick_Labs ：基于区块链的游戏和社交网络（ 这轮周期的 CHZ，带来大规模采用

@saharaai ：Sahara 是一个无需信任、无需许可且以隐私为中心的网络（ 让全世界劳动力参与到 AI 数据训练与模型保护

@zerobasezk ：ZEROBASE 是一个实时 ZK 证明器网络（ ZK 证明* 极速版，可以供现实世界采用",Binance Labs 2024 investment @nihaovand 截 止 到 2021 / 11 / 01 毒 R()()TDATA BounceBit Strategc Jan Jul Bracket Seed S2M Memeland strategtc Puffer Finance Strateg ℃ MikYWay Seed S5M Babylon 0 0 aPriori Strateglc Renzo Protocal Zest Protacol $ 3 ． 5M Ethena Seed Plus S14M UXLJY Pre-A S8M Catizen Strategic S4M Sahara Series $ 43M 00 Vooi NFTPrompt Movement Myshell Sidekick lnfrared Rango Exchange Zircuit Blum Zircuit Pentagon $6M Aggregate Oct 0 Corn Seed $ 67M Solayer Seed $ 12M OpenEden Strategic ZEROBASE S5M So on Hemi Network 引 5M 0 Moonwalk Seed $ 3 ． 4M Lombard 引 eg 记 SIM Particle Network Aug Opinion Labs Asian on chain
SAHARA,Sahara AI,2024-12-19T12:01:15.000Z,2025-06-26T12:00:00.000Z,0.02,4535.98,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1869714612658278568,已经被 Sahara AI 的登录界面震惊了，拉一个早期群，准备all im https://t.co/40Q7rwyo7q,Sahara 大 沙 漠 冲 冲 群 （ 3 ） 本 群 非 官 方 ， 只 是 sahara 早 期 交 互 交 流 互 相 教 学 ． ． 19 ： 55 你 邀 请 chester 、 Tc 加 入 了 群 聊 群 公 告 本 群 非 官 方 ， 只 是 sahara 早 期 交 互 交 流 互 相 教 学 打 卡 群 链 接 ： app.saharalabs.ai 设 为 群 待 办
SAHARA,Sahara AI,2024-12-29T07:34:30.000Z,2025-06-26T12:00:00.000Z,0.02,4300.43,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1873271358484074504,"我认为 Sahara 就是颠覆性的创新，因为最近社区做题的小伙伴跟我说：怎么感觉官方真的把B端企业的工作派给大家了？

🌟 在我看来全球化的职业网络正在形成，并且这个职业网络将服务于万亿级的 AI 市场

🌟 欢迎对 Sahara 感兴趣的宝宝们周一来听Sahara Discord space，我会带大家冲！

🌟 时间：12/30 北京时间 9PM",业 Sahara AI （叵@0@二） 第 一 次 的 心 声 ： 与 大 家 畅 聊 测 试 网 与 新 征 程 12 / 30 北 京 时 间 9PM 晡 《 5 whitelist spots for Season 1 VandNi CO丰伽“嫔@S星“0剡 Danzel C 》 1 脚0虫霰t@50湎咝a
SAHARA,Sahara AI,2025-02-21T19:56:45.000Z,2025-06-26T12:00:00.000Z,0.02,2992.05,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1893027096286699880,"Sahara 仍然在以最快的进展更新他们的一切，参考我之前的推文 ；最近看到社区有很多问题，这条推文将解释一切

Sahara正在不断完成里程碑任务：

第一个里程碑是

第一赛季的结束，第二赛季的开始（候补名单上有超过 200 万人，第二个赛季已经增加了 100,000 名参与者

Sahara 以卓越之姿引领了大规模社区的采用，这也是最近我们感受到异常封禁与繁复的人机验证的原因

这可以体现团队想把更多的空投发送给真实用户的想法，因为Sahara的特殊机制，撸猫机器人的答案将污染数据库让数据集的建立难以进行下去；

但社区参与者无需担心Sahara 依旧是公平的，因为人机无法进行人类大脑特有的工作，我们只需要给团队更多的时间解决数据污染等问题

这段时间你可以好好休息喝杯咖啡，在社区聊天，想想如何构建一个更美好的 AI 家园，我就是你们的家人

第二个里程碑是

AI Studio 的预备发布，这里提到一个关键信息，Sahara 将支持整个 Ai 生态的发展，这是我们从 rodmap 里面能读取到最大的信心

我们所有早期参与者应该发现你不仅会从 Sahara 本身的 Data Services 的到收益，还有可能在将来 Sahara AI 生态飞速发展的过程中获得更多，这是一个我们需要支持的重点

向所有使用 Sahara Ai Studio 的 Ai 合作伙伴和 DEV/开发者 展示这里有最强大的社区

同时值得一提的是， Sahara 在去中心化数据标注时已经产出了高价值的可靠数据

在同行评审机制，最终92%过审数据都符合质检标准

这说明 Sahara 的产品未来完全可靠，只要设计好激励机制和验证规则，分布式协作完全能产出可靠数据；

这次我见到了Sahara 最大的投资者之一，也是我的好友；我问他 Sahara 真的有现实收入吗？ 

他告诉我，他们做了客户访谈以及细致的调查；他们真的有，此前的 AMA 活动 @tz_sahara 有提到具体的商业案例

从整个 AI 行业的趋势来看，公开数据尽管成本更低，但是真正珍贵的是需要人工创造的高价值数据；也就是你今天作为审阅或者注释提供的一切劳动成果

此前，我们曾做过一个测试AI安全性""越狱提示词""的任务，产出了24,000+条无法被爬取的稀缺数据；

我真的感叹社区的智慧，恭喜你们战胜了 ChatGPT，也战胜了任何公开数据；这样一个数据集，是非常稀缺且具备商业价值的，他能提高AI模型的安全程度，那你们认为这样一个数据集是否具备价值呢？

现在我们正从1万贡献者扩展到10万规模，同时升级自动化验证和反欺诈系统

给团队更多信任，我相信绝对的实力与长期建设的决心能够让我们共度难关

社区的强大不会稀释任何参与者的价值，相反因为更多人的加入我们将走得更远，但前提是你 Builder，依旧构建最大的 AI 社区，让我们加油",Asian on chain 解 释 sahara 近 期 任 务 类 型 初 学 者 中 级 接 受 的 数 据 点 数 149 717 56 ， 610 总 提 交 数 179 ， 889 84 ， 261 同 行 评 审 接 受 率 83 · 23 ％ 67 ． 18 ％ 这 些 信 息 通 过 展 示 了 Sahara 提 供 数 据 的 可 扩 展 性 和 有 效 性 YOUR KNOWLEDGE ， YOUR AI 内 部 QA （ 同 行 评 审 准 确 率 ） 94 ， 35 ％ 88 · 14 ％ Sahara AI
SAHARA,Sahara AI,2025-06-15T16:25:35.000Z,2025-06-26T12:00:00.000Z,0.02,259.57,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1934286174136537104,"你觉得贵，我觉得不贵，所以我的钻石够闪。市场目前超募了7倍。按照超募比例开盘，TGE FDV 4-5b

今天开心，发1ku红包给大家，评论区留下你跟我的真实故事即可

最近也市场比较冷淡，所以没有经常出现，因为落子无悔，找到当前局势下胜率最大的布局即可；Sahara 是其中之一

一切都是那么简单，我记得刚宣布ICO的时候，社区有很多人在骂，我极力的劝了大家，听进去的赚钱，没听进去的不赚钱，就仅此而已

我们当初参与就是看好项目本身，Sahara 产品、技术、融资都在各方面向好，难道不应该更加看好么，相信 @tz_sahara  愿意跟我们走更远的决心即可","Sahara AI 0 0 0 Sahara 虑 the first full-StaCk, Al-native blOCkChain platform where anyone can create, contribute ， and mOnetize 刘 development, making the future 引 more accessib 《 0 equitable, and open tO 《 Action Log Status Subscription Rewew Contributing 03m0 TC 》 Settlement Progress 0f Target Target Raised Completion Project Details TOken Name $ 500QQ0 $ 62 ， 696 ， 22 & 09 73 杰 60 ％ 63 丿 0 over 四 SAHARA"
SAHARA,Sahara AI,2025-06-25T05:53:01.000Z,2025-06-26T12:00:00.000Z,0.02,30.12,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1937750860664307975,"终于跟随大家在大沙漠里淘得了黄金和钻石 

一路走来，说实话 Sahara 赚的是辛苦钱，但至少是赚钱了的。大部分代币都给到了社区，大家都开心，我也拿到了很多

但还是有人说 sahara 很小气，我只想说：因为 Sahara 在乎的是我们这些普通人

群里有人说：KOL yap 牛顿给了几千刀，牛顿很大方

可是有几个人是KOL？我影响力其实不小，两嘴一张也能拿个几千刀，但大家呢？自己手里有没有拿到钱最重要，这个世界有很多骗局，每个人都基于自己的利益出发

Sahara 在乎的是，社区这些发不出的声音。这个世界从来不是谁声音大谁有理。枯燥答题的瞬间、第二期测试谷歌验证的烦躁，才是社区真正的声音

我相信很多人生来没那么富有，生活在在二三线城市，甚至还可能因为钱的问题跟老婆吵架。但这就是我们应该面对的，

每个人都想在华尔街觥筹交错，看别人赚了多少钱

但那不是你的生活，不要被别人带了节奏，大家都是普通人

这波赚钱，是从头信到尾，第一期测试就开始，第二期经常bug烦躁，ico我说：你们不要的话，我买走额度。

这波赚钱，是大家熬过无数个日夜。我记得我给项目方提过建议：每周留一天假期给大家。因为我们想休息，我们不想每周都每天6小时答题

Sahara 在乎的是这样的声音，因为他们很清楚自己立足的根本。 tyler 之前的工作经验就已经很顶级，当然也可以说：你们这群屌丝就不能努力点？

但没有人会这么做，他们在努力调动身边的一切给大家谋取最大的福利。

不要被无关的事带了节奏，看看身边社区的大家，这波赚钱，是大家一起从头信到尾

觉得赚了钱马上要卖出退群，或者做空的，请你立马这么做。我只想跟大家说：属于我们的故事再次开始，我们依旧是从头信到尾，持续赚钱

在撒哈拉大沙漠里，寻找更多的黄金、钻石、绿洲。都是辛苦钱，真的很想哭，大家也post下自己答题的枯燥瞬间吧，我继续抽 10 个 520 给大家，开心一点",JCSahara ara
